conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Metastatic cancer	http://www.symcat.com/conditions/metastatic-cancer	Metastatic cancer	Also known as Secondary Neoplasm		Paclitaxel (Taxol)				
Lipoma	http://www.symcat.com/conditions/lipoma	Lipoma	Also known as Fatty Tumor			Bones are painful	16		
Schizophrenia	http://www.symcat.com/conditions/schizophrenia	Schizophrenia	null		Paliperidone (Invega)				
Fungal infection of the skin	http://www.symcat.com/conditions/fungal-infection-of-the-skin	Fungal infection of the skin	"Also known as Dermatomycosis, Fungal Skin Disease, Cutaneous Mycosis, and Epidermomycosis"			Acne or pimples	7		
Skin polyp	http://www.symcat.com/conditions/skin-polyp	Skin polyp	Also known as Benign Skin Tumor					Male	0.9x
Fracture of the hand	http://www.symcat.com/conditions/fracture-of-the-hand	Fracture of the hand	Also known as Broken Hand and Hand Fracture					Black	1.0x
Obsessive compulsive disorder (OCD)	http://www.symcat.com/conditions/obsessive-compulsive-disorder-ocd	Obsessive compulsive disorder (OCD)	Also known as OCD and Obsessive Compulsive Neurosis			Temper problems	14		
Concussion	http://www.symcat.com/conditions/concussion	Concussion	Also known as Cerebral Concussion and Commotio Cerebri		Pancuronium				
Pelvic inflammatory disease	http://www.symcat.com/conditions/pelvic-inflammatory-disease	Pelvic inflammatory disease	Also known as PID		Metronidazole Topical Product				
Pain after an operation	http://www.symcat.com/conditions/pain-after-an-operation	Pain after an operation	Also known as Postoperative Pain			Headache	51		
Colorectal cancer	http://www.symcat.com/conditions/colorectal-cancer	Colorectal cancer	Also known as Colon cancer		Dexamethasone Topical Product				
Pneumonia	http://www.symcat.com/conditions/pneumonia	Pneumonia	null	Glucose measurement (Glucose level)					
Corneal abrasion	http://www.symcat.com/conditions/corneal-abrasion	Corneal abrasion	Also known as Cornea Scratch			Swollen eye	28		
Pregnancy	http://www.symcat.com/conditions/pregnancy	Pregnancy	Also known as Gestation	Examination of breast					
Delirium	http://www.symcat.com/conditions/delirium	Delirium	Also known as Acute Brain Syndrome	Complete blood count (Cbc)					
Fungal infection of the skin	http://www.symcat.com/conditions/fungal-infection-of-the-skin	Fungal infection of the skin	"Also known as Dermatomycosis, Fungal Skin Disease, Cutaneous Mycosis, and Epidermomycosis"					15-29 years	1.0x
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis			Groin pain	20		
Benign prostatic hyperplasia (BPH)	http://www.symcat.com/conditions/benign-prostatic-hyperplasia-bph	Benign prostatic hyperplasia (BPH)	"Also known as BPH, Benign Prostatic Hypertrophy, and Benign Prostate Enlargement"	Urinalysis					
Drug reaction	http://www.symcat.com/conditions/drug-reaction	Drug reaction	Also known as Medication Side Effect and Adverse Drug Reaction			Headache	27		
Sprain or strain	http://www.symcat.com/conditions/sprain-or-strain	Sprain or strain	null			Arm pain	20		
Cirrhosis	http://www.symcat.com/conditions/cirrhosis	Cirrhosis	"Also known as Liver Cirrhosis, Cirrhosis Of Liver, and Hepatic Cirrhosis"	Lipid panel					
Leukemia	http://www.symcat.com/conditions/leukemia	Leukemia	null					75+ years	1.7x
Corneal abrasion	http://www.symcat.com/conditions/corneal-abrasion	Corneal abrasion	Also known as Cornea Scratch			Pain in eye	87		
Ear wax impaction	http://www.symcat.com/conditions/ear-wax-impaction	Ear wax impaction	Also known as Cerumen Impaction	Diagnostic procedures on nose; mouth and pharynx					
Peripheral arterial disease	http://www.symcat.com/conditions/peripheral-arterial-disease	Peripheral arterial disease	null					Hispanic	0.6x
Croup	http://www.symcat.com/conditions/croup	Croup	Also known as Acute Laryngotracheobronchitis		Methylprednisolone Topical				
Spinal stenosis	http://www.symcat.com/conditions/spinal-stenosis	Spinal stenosis	Also known as Spinal Narrowing	Plain x-ray (X ray)					
Skin cancer	http://www.symcat.com/conditions/skin-cancer	Skin cancer	Also known as Malignant Neoplasm Of Skin	Other therapeutic procedures					
Acute bronchospasm	http://www.symcat.com/conditions/acute-bronchospasm	Acute bronchospasm	Also known as Bronchial Spasm		Levalbuterol (Xopenex)				
Acute otitis media	http://www.symcat.com/conditions/acute-otitis-media	Acute otitis media	null					Female	0.8x
Cataract	http://www.symcat.com/conditions/cataract	Cataract	Also known as Lens Opacity and Lenticular Opacity					75+ years	3.6x
Injury to the face	http://www.symcat.com/conditions/injury-to-the-face	Injury to the face	Also known as Face Injury and Facial Injury			Redness in or around nose	7		
Otitis externa (swimmer's ear)	http://www.symcat.com/conditions/otitis-externa-swimmer-s-ear	Otitis externa (swimmer's ear)	Also known as Swimmer's ear			Facial pain	17		
Diaper rash	http://www.symcat.com/conditions/diaper-rash--2	Diaper rash	"Also known as Diaper Dermatitis, Nappy Rash, and Napkin Dermatitis"	Complete physical skin exam performed (ML)					
Dry eye of unknown cause	http://www.symcat.com/conditions/dry-eye-of-unknown-cause	Dry eye of unknown cause	Also known as Dry Eye Syndrome	Other therapeutic procedures on eyelids; conjunctiva; cornea					
Peripheral nerve disorder	http://www.symcat.com/conditions/peripheral-nerve-disorder	Peripheral nerve disorder	Also known as Peripheral Neuropathy			Abnormal involuntary movements	19		
Mononeuritis	http://www.symcat.com/conditions/mononeuritis	Mononeuritis	null					Male	1.0x
Deep vein thrombosis (DVT)	http://www.symcat.com/conditions/deep-vein-thrombosis-dvt	Deep vein thrombosis (DVT)	Also known as DVT and Deep Thrombophlebitis					Other	0.6x
Developmental disability	http://www.symcat.com/conditions/developmental-disability	Developmental disability	Also known as Child Development Disorder					5-14 years	3.2x
Pain after an operation	http://www.symcat.com/conditions/pain-after-an-operation	Pain after an operation	Also known as Postoperative Pain			Neck pain	26		
Hyperemesis gravidarum	http://www.symcat.com/conditions/hyperemesis-gravidarum	Hyperemesis gravidarum	Also known as Excessive Vomiting In Pregnancy		Doxylamine (Unisom)				
Atrophic skin condition	http://www.symcat.com/conditions/atrophic-skin-condition	Atrophic skin condition	null			Skin irritation	15		
Peripheral arterial disease	http://www.symcat.com/conditions/peripheral-arterial-disease	Peripheral arterial disease	null					Other	0.6x
Melanoma	http://www.symcat.com/conditions/melanoma	Melanoma	"Also known as Malignant Melanoma, Cutaneous Melanoma, Melanocarcinoma, Melanosarcoma, and Nevocarcinoma"			Back mass or lump	4		
Nerve impingement near the shoulder	http://www.symcat.com/conditions/nerve-impingement-near-the-shoulder	Nerve impingement near the shoulder	Also known as Shoulder Impingement Syndrome and Subacromial Impingement	Other non-OR therapeutic procedures on musculoskeletal system					
Asthma	http://www.symcat.com/conditions/asthma	Asthma	Also known as Bronchial Asthma					1-4 years	2.4x
Fracture of the vertebra	http://www.symcat.com/conditions/fracture-of-the-vertebra	Fracture of the vertebra	Also known as Spine Fracture and Spinal Fracture	X-ray computed tomography (Scan ct)					
Social phobia	http://www.symcat.com/conditions/social-phobia	Social phobia	Also known as Social Anxiety Disorder	Mental health counseling					
Otitis media	http://www.symcat.com/conditions/otitis-media	Otitis media	Also known as Middle Ear Infection					15-29 years	0.5x
Herniated disk	http://www.symcat.com/conditions/herniated-disk	Herniated disk	Also known as Slipped Disk and Prolapsed Disk		Tizanidine				
Acute pancreatitis	http://www.symcat.com/conditions/acute-pancreatitis	Acute pancreatitis	null	Intravenous fluid replacement					
Fibromyalgia	http://www.symcat.com/conditions/fibromyalgia	Fibromyalgia	"Also known as Fibromyalgia Syndrome, Fibromyositis, and Muscular Rheumatism"		Pregabalin (Lyrica)				
Bruise	http://www.symcat.com/conditions/bruise	Bruise	Also known as Contusion					Male	1.1x
Marijuana abuse	http://www.symcat.com/conditions/marijuana-abuse	Marijuana abuse	null		Tiagabine (Gabitril)				
Menopause	http://www.symcat.com/conditions/menopause	Menopause	Also known as Change Of Life and Climacteric					Other	1.0x
Neurosis	http://www.symcat.com/conditions/neurosis	Neurosis	Also known as Neurotic Disorder		Divalproex Sodium (Depakote)				
Prostate cancer	http://www.symcat.com/conditions/prostate-cancer	Prostate cancer	Also known as Cancer Of The Prostate and Malignant Neoplasm Of Prostate		Leuprolide (Lupron)				
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"		"Ferric Oxide, Saccharated (Venofer)"				
Glaucoma	http://www.symcat.com/conditions/glaucoma	Glaucoma	null					< 1 years	0.0x
Idiopathic excessive menstruation	http://www.symcat.com/conditions/idiopathic-excessive-menstruation	Idiopathic excessive menstruation	null			Heavy menstrual flow	77		
Injury to the arm	http://www.symcat.com/conditions/injury-to-the-arm	Injury to the arm	"Also known as Arm Injury, Upper Extremity Injury, and Upper Limb Injury"			Elbow pain	69		
Iron deficiency anemia	http://www.symcat.com/conditions/iron-deficiency-anemia	Iron deficiency anemia	Also known as Ferropenic Anemia			Weakness	28		
Mitral valve disease	http://www.symcat.com/conditions/mitral-valve-disease	Mitral valve disease	Also known as Mitral Valve Disorder	Electrocardiogram					
Hemorrhoids	http://www.symcat.com/conditions/hemorrhoids	Hemorrhoids	Also known as Piles					5-14 years	0.1x
Diabetic retinopathy	http://www.symcat.com/conditions/diabetic-retinopathy	Diabetic retinopathy	null			Itchiness of eye	8		
Drug reaction	http://www.symcat.com/conditions/drug-reaction	Drug reaction	Also known as Medication Side Effect and Adverse Drug Reaction	Electrolytes panel					
Developmental disability	http://www.symcat.com/conditions/developmental-disability	Developmental disability	Also known as Child Development Disorder	Psychological and psychiatric evaluation and therapy					
Alcohol abuse	http://www.symcat.com/conditions/alcohol-abuse	Alcohol abuse	"Also known as Alcoholism, Alcohol Addiction, and Alcohol Dependence Syndrome"					Male	1.6x
Glaucoma	http://www.symcat.com/conditions/glaucoma	Glaucoma	null			Diminished vision	46		
Scoliosis	http://www.symcat.com/conditions/scoliosis	Scoliosis	null		Penicillamine (Depen)				
Cardiomyopathy	http://www.symcat.com/conditions/cardiomyopathy	Cardiomyopathy	Also known as Heart Muscle Disease and Myocardial Disease		Furosemide				
Dementia	http://www.symcat.com/conditions/dementia	Dementia	null					Hispanic	0.6x
Fracture of the hand	http://www.symcat.com/conditions/fracture-of-the-hand	Fracture of the hand	Also known as Broken Hand and Hand Fracture					75+ years	0.5x
Heart failure	http://www.symcat.com/conditions/heart-failure	Heart failure	"Also known as Weak Heart, Heart Weakness, Myocardial Failure, and Cardiac Insufficiency"					Black	1.1x
Onychomycosis	http://www.symcat.com/conditions/onychomycosis	Onychomycosis	"Also known as Fungal Nail Infection, Tinea Unguium, Dermatophytosis Of Nail, Nail Tinea, and Dermatophytic Onychia"	Microscopic examination (bacterial smear; culture; toxicology)					
Panic disorder	http://www.symcat.com/conditions/panic-disorder	Panic disorder	null			Depressive or psychotic symptoms	33		
Onychomycosis	http://www.symcat.com/conditions/onychomycosis	Onychomycosis	"Also known as Fungal Nail Infection, Tinea Unguium, Dermatophytosis Of Nail, Nail Tinea, and Dermatophytic Onychia"	Complete physical skin exam performed (ML)					
Irritable bowel syndrome	http://www.symcat.com/conditions/irritable-bowel-syndrome	Irritable bowel syndrome	"Also known as Irritable Colon, Spastic Colon, and Mucous Colitis"		Bifidobacterium Infantis (Align)				
Gout	http://www.symcat.com/conditions/gout	Gout	Also known as Uric acid arthropathy	Lipid panel					
Pneumonia	http://www.symcat.com/conditions/pneumonia	Pneumonia	null	Plain x-ray (X ray)					
Cataract	http://www.symcat.com/conditions/cataract	Cataract	Also known as Lens Opacity and Lenticular Opacity		Tropicamide Ophthalmic				
Oral thrush (yeast infection)	http://www.symcat.com/conditions/oral-thrush-yeast-infection	Oral thrush (yeast infection)	null					Other	0.7x
Diabetic retinopathy	http://www.symcat.com/conditions/diabetic-retinopathy	Diabetic retinopathy	null			Spots or clouds in vision	33		
Tinnitus of unknown cause	http://www.symcat.com/conditions/tinnitus-of-unknown-cause	Tinnitus of unknown cause	null	Other physical therapy and rehabilitation					
Skin polyp	http://www.symcat.com/conditions/skin-polyp	Skin polyp	Also known as Benign Skin Tumor	Excision of skin lesion					
Tooth abscess	http://www.symcat.com/conditions/tooth-abscess	Tooth abscess	Also known as Dental Abscess			Symptoms of the face	6		
Injury to the finger	http://www.symcat.com/conditions/injury-to-the-finger	Injury to the finger	Also known as Finger Injury					15-29 years	1.3x
Delirium	http://www.symcat.com/conditions/delirium	Delirium	Also known as Acute Brain Syndrome					Other	0.9x
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis		Nitrofurazone Topical				
Idiopathic irregular menstrual cycle	http://www.symcat.com/conditions/idiopathic-irregular-menstrual-cycle	Idiopathic irregular menstrual cycle	null		Portia				
Hypercholesterolemia	http://www.symcat.com/conditions/hypercholesterolemia	Hypercholesterolemia	Also known as Elevated Cholesterol and High Blood Cholesterol Level			Palpitations	12		
Pain after an operation	http://www.symcat.com/conditions/pain-after-an-operation	Pain after an operation	Also known as Postoperative Pain					Male	0.9x
Coronary atherosclerosis	http://www.symcat.com/conditions/coronary-atherosclerosis	Coronary atherosclerosis	null					45-59 years	1.0x
Gallstone	http://www.symcat.com/conditions/gallstone	Gallstone	"Also known as Cholelithiasis, Gallstone Disease, and Calculus Of Gallbladder"		Cefotetan				
Pleural effusion	http://www.symcat.com/conditions/pleural-effusion	Pleural effusion	null	Kidney function tests (Kidney function test)					
Vaginitis	http://www.symcat.com/conditions/vaginitis	Vaginitis	Also known as Vagina Inflammation					White	0.7x
Itching of unknown cause	http://www.symcat.com/conditions/itching-of-unknown-cause	Itching of unknown cause	null					45-59 years	1.2x
Brachial neuritis	http://www.symcat.com/conditions/brachial-neuritis	Brachial neuritis	"Also known as Parsonage Turner Syndrome, Brachial Plexus Neuritis, Neuralgic Amyotrophy, and Shoulder Girdle Syndrome"					Hispanic	0.7x
Injury to the finger	http://www.symcat.com/conditions/injury-to-the-finger	Injury to the finger	Also known as Finger Injury		Tranylcypromine (Parnate)				
Marijuana abuse	http://www.symcat.com/conditions/marijuana-abuse	Marijuana abuse	null			Drug abuse	76		
Sickle cell anemia	http://www.symcat.com/conditions/sickle-cell-anemia	Sickle cell anemia	Also known as Sickle Cell Disorder					75+ years	0.0x
Hypercholesterolemia	http://www.symcat.com/conditions/hypercholesterolemia	Hypercholesterolemia	Also known as Elevated Cholesterol and High Blood Cholesterol Level	Hematologic tests (Blood test)					
Conjunctivitis	http://www.symcat.com/conditions/conjunctivitis	Conjunctivitis	Also known as Conjunctiva Inflammation					Female	0.9x
Diabetes	http://www.symcat.com/conditions/diabetes	Diabetes	null	Wound care management					
Angina	http://www.symcat.com/conditions/angina	Angina	"Also known as Angina Pectoris, Cardiac Angina, Ischemic Chest Pain, and Anginal Syndrome"	Radiographic imaging procedure					
Epilepsy	http://www.symcat.com/conditions/epilepsy	Epilepsy	Also known as Seizure Disorder	Complete blood count (Cbc)					
Conjunctivitis due to allergy	http://www.symcat.com/conditions/conjunctivitis-due-to-allergy	Conjunctivitis due to allergy	Also known as Allergic Conjunctivitis and Atopic Conjunctivitis			Lacrimation	54		
Diaper rash	http://www.symcat.com/conditions/diaper-rash--2	Diaper rash	"Also known as Diaper Dermatitis, Nappy Rash, and Napkin Dermatitis"					45-59 years	0.0x
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			Swollen abdomen	12		
Open wound of the face	http://www.symcat.com/conditions/open-wound-of-the-face	Open wound of the face	null			Eyelid swelling	1		
Acute bronchitis	http://www.symcat.com/conditions/acute-bronchitis	Acute bronchitis	null	Blood culture					
Acute kidney injury	http://www.symcat.com/conditions/acute-kidney-injury	Acute kidney injury	"Also known as AKI, ARF, Acute Renal Failure, Acute Kidney Failure, Acute Renal Insufficiency, and Acute Renal Shutdown"	Electrolytes panel					
Epilepsy	http://www.symcat.com/conditions/epilepsy	Epilepsy	Also known as Seizure Disorder			Headache	32		
Injury to the face	http://www.symcat.com/conditions/injury-to-the-face	Injury to the face	Also known as Face Injury and Facial Injury		Trolamine Salicylate Topical				
Macular degeneration	http://www.symcat.com/conditions/macular-degeneration	Macular degeneration	Also known as Macula Lutea Degeneration					1-4 years	0.1x
Crohn disease	http://www.symcat.com/conditions/crohn-disease	Crohn disease	Also known as Granulomatous Enteritis		Loperamide (Imodium)				
Problem during pregnancy	http://www.symcat.com/conditions/problem-during-pregnancy	Problem during pregnancy	Also known as Pregnancy Problem			Pain during pregnancy	75		
Infectious gastroenteritis	http://www.symcat.com/conditions/infectious-gastroenteritis	Infectious gastroenteritis	Also known as Stomach Flu and Gastric Flu			Decreased appetite	16		
Mitral valve disease	http://www.symcat.com/conditions/mitral-valve-disease	Mitral valve disease	Also known as Mitral Valve Disorder	Diagnostic cardiac catheterization; coronary arteriography					
Mononeuritis	http://www.symcat.com/conditions/mononeuritis	Mononeuritis	null			Paresthesia	47		
Dental caries	http://www.symcat.com/conditions/dental-caries	Dental caries	"Also known as Tooth Decay, Tooth Cavity, Dental Decay, Dental Cavity, and Saprodontia"		Oxymetazoline Nasal				
Vulvodynia	http://www.symcat.com/conditions/vulvodynia	Vulvodynia	null	Radiographic imaging procedure					
Otitis media	http://www.symcat.com/conditions/otitis-media	Otitis media	Also known as Middle Ear Infection			Vomiting	33		
Astigmatism	http://www.symcat.com/conditions/astigmatism	Astigmatism	null					60-74 years	0.7x
Hyponatremia	http://www.symcat.com/conditions/hyponatremia	Hyponatremia	"Also known as Sodium Deficiency, Sodium Depletion, and Decreased Serum Sodium"			Weakness	55		
Bladder cancer	http://www.symcat.com/conditions/bladder-cancer	Bladder cancer	"Also known as Cancer Of Bladder, Urinary Bladder Cancer, Bladder Ca, and Malignant Neoplasm Of Bladder"		Paclitaxel (Taxol)				
Injury to the shoulder	http://www.symcat.com/conditions/injury-to-the-shoulder	Injury to the shoulder	Also known as Shoulder injury					60-74 years	1.1x
Arrhythmia	http://www.symcat.com/conditions/arrhythmia	Arrhythmia	"Also known as Irregular Heartbeat, Cardiac Arrhythmia, Heart Arrhythmia, Cardiac Dysrhythmia, and Abnormal Heart Rhythms"		Adenosine				
Crohn disease	http://www.symcat.com/conditions/crohn-disease	Crohn disease	Also known as Granulomatous Enteritis					15-29 years	1.4x
Chronic glaucoma	http://www.symcat.com/conditions/chronic-glaucoma	Chronic glaucoma	null		Brimonidine-Timolol Ophthalmic				
Heart attack	http://www.symcat.com/conditions/heart-attack	Heart attack	"Also known as MI, Myocardial Infarction, Coronary Attack, and Cardiac Infarction"			Increased heart rate	4		
Sickle cell anemia	http://www.symcat.com/conditions/sickle-cell-anemia	Sickle cell anemia	Also known as Sickle Cell Disorder					Female	1.0x
Heart attack	http://www.symcat.com/conditions/heart-attack	Heart attack	"Also known as MI, Myocardial Infarction, Coronary Attack, and Cardiac Infarction"	Radiographic imaging procedure					
Vasculitis	http://www.symcat.com/conditions/vasculitis	Vasculitis	Also known as Angiitis					Other	2.6x
Depression	http://www.symcat.com/conditions/depression--2	Depression	Also known as Depressive Disorder		Sertraline (Zoloft)				
Injury to the leg	http://www.symcat.com/conditions/injury-to-the-leg	Injury to the leg	Also known as Leg Injury and Lower Limb Injury		Fondaparinux (Arixtra)				
Fracture of the arm	http://www.symcat.com/conditions/fracture-of-the-arm	Fracture of the arm	Also known as Arm Fracture and Upper Extremity Fracture	Application of splint (Splinting)					
Insect bite	http://www.symcat.com/conditions/insect-bite	Insect bite	null	Complete physical skin exam performed (ML)					
Gastritis	http://www.symcat.com/conditions/gastritis	Gastritis	Also known as Stomach Inflammation and Gastric Inflammation			Sharp chest pain	41		
Seborrheic dermatitis	http://www.symcat.com/conditions/seborrheic-dermatitis	Seborrheic dermatitis	Also known as Seborrhea and Seborrheic Eczema	Other diagnostic procedures on skin and subcutaneous tissue					
Fracture of the arm	http://www.symcat.com/conditions/fracture-of-the-arm	Fracture of the arm	Also known as Arm Fracture and Upper Extremity Fracture			Shoulder stiffness or tightness	1		
Idiopathic painful menstruation	http://www.symcat.com/conditions/idiopathic-painful-menstruation	Idiopathic painful menstruation	Also known as Primary Dysmenorrhea		Medroxyprogesterone				
Dysthymic disorder	http://www.symcat.com/conditions/dysthymic-disorder	Dysthymic disorder	Also known as Dysthymia		Escitalopram (Lexapro)				
Eye alignment disorder	http://www.symcat.com/conditions/eye-alignment-disorder	Eye alignment disorder	null		Ocular Lubricant				
Skin pigmentation disorder	http://www.symcat.com/conditions/skin-pigmentation-disorder	Skin pigmentation disorder	null					30-44 years	1.2x
Delirium	http://www.symcat.com/conditions/delirium	Delirium	Also known as Acute Brain Syndrome		Fludrocortisone				
Open wound of the hand	http://www.symcat.com/conditions/open-wound-of-the-hand	Open wound of the hand	null	Application of splint (Splinting)					
Schizophrenia	http://www.symcat.com/conditions/schizophrenia	Schizophrenia	null			Low self-esteem	2		
Aortic valve disease	http://www.symcat.com/conditions/aortic-valve-disease	Aortic valve disease	Also known as Aortic Valve Disorder			Irregular heartbeat	8		
Skin disorder	http://www.symcat.com/conditions/skin-disorder	Skin disorder	"Also known as Skin Disease, Dermatosis, Integumentary Disease, Dermatological Disease, and Dermatological Disorders"		Azelaic Acid Topical				
Cirrhosis	http://www.symcat.com/conditions/cirrhosis	Cirrhosis	"Also known as Liver Cirrhosis, Cirrhosis Of Liver, and Hepatic Cirrhosis"			Symptoms of the kidneys	5		
Temporary or benign blood in urine	http://www.symcat.com/conditions/temporary-or-benign-blood-in-urine	Temporary or benign blood in urine	Also known as Benign Hematuria and Essential Hematuria	Hematologic tests (Blood test)					
Open wound of the head	http://www.symcat.com/conditions/open-wound-of-the-head	Open wound of the head	null					Hispanic	1.0x
Cerebral palsy	http://www.symcat.com/conditions/cerebral-palsy	Cerebral palsy	null					75+ years	0.0x
Common cold	http://www.symcat.com/conditions/common-cold	Common cold	"Also known as Head Cold, Acute Rhinitis, and Acute Nasopharyngitis"			Wheezing	16		
