title	other_names	desc	causes	percentages	related	related_p	tests	meds	ages	ages_freq	sex	sex_freq	race	race_freq
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Obesity	21	Fatigue	10	Mental health counseling	Buspirone (Buspar)	30-44 years	1.3x				
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Eating disorder	2	Irritable infant	24	Other OR upper GI therapeutic procedures	Desmopressin	45-59 years	1.0x				
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Obstructive sleep apnea (OSA)	4	Anxiety and nervousness	18	Glucose measurement (Glucose level)	Trihexyphenidyl (Artane)	60-74 years	0.9x				
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Attention deficit hyperactivity disorder (ADHD)	10	Stomach bloating	44	Hemoglobin A1c measurement (Hemoglobin a1c test)	Simethicone (Degas)	5-14 years	1.3x				
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Depressive or psychotic symptoms	50		Calcium Polycarbophil (Fibercon)						
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Diaper rash	24		Phentermine						
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Depression	35		Lactobacillus Acidophilus (Dofus)						
Excessive appetite	Also known as Voracious Appetite	Excessive appetite is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Decreased appetite	10								
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."	High blood pressure	4	Too little hair	2	Other diagnostic procedures (interview; evaluation; consultation)	Phendimetrazine	30-44 years	0.2x	Male	0.7x	Hispanic	0.8x
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."	Obesity	48	Hot flashes	4	Hematologic tests (Blood test)	Mexiletine	75+ years	1.6x	Female	1.2x	Other	0.8x
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."	Heart failure	4	Peripheral edema	8	Complete physical skin exam performed (ML)	Triiodothyronine (Cytomel)	60-74 years	0.9x			White	1.0x
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."	Depression	4	Recent pregnancy	2	Lipid panel	Diethylpropion (Tenuate)	< 1 years	1.3x			Black	1.2x
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."	Diabetes	7	Loss of sex drive	17	Mental health counseling	Phentermine	45-59 years	0.2x				
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."	Hypothyroidism	4	Apnea	3	Depression screen (Depression screening)	Fluvoxamine (Luvox)	15-29 years	0.8x				
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."	Hyperlipidemia	14	Problems with shape or size of breast	10	Hemoglobin A1c measurement (Hemoglobin a1c test)	Biotin	1-4 years	0.4x				
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."	Obstructive sleep apnea (OSA)	12	Sleepiness	3	Glucose measurement (Glucose level)	Orlistat (Alli)	5-14 years	1.4x				
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."			Fatigue	12		Sibutramine (Meridia)						
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."			Abnormal breathing sounds	10		Mycophenolic Acid (Myfortic)						
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."			Excessive appetite	29								
Weight gain	Also known as Obesity and Overweight	"Weight gain is an increase in body weight. This can be either an increase in muscle mass, fat deposits, or excess fluids such as water."			Smoking problems	5								
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."	Gastrointestinal hemorrhage	3	Sharp chest pain	68	Glucose measurement (Glucose level)	Prochlorperazine (Compro)	75+ years	1.0x	Male	1.3x	White	1.0x
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."	Alcohol abuse	5	Melena	26	Complete blood count (Cbc)	Sodium Citrate	< 1 years	0.7x	Female	0.8x	Hispanic	1.0x
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."	Hyperemesis gravidarum	20	Burning abdominal pain	24	Electrolytes panel	Methenamine	15-29 years	1.8x			Other	0.6x
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."	Anemia	6	Changes in stool appearance	26	Hematologic tests (Blood test)	Famotidine	30-44 years	1.2x			Black	1.0x
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."	Gastroduodenal ulcer	2	Rectal bleeding	29	Kidney function tests (Kidney function test)	Tetracycline	60-74 years	0.6x				
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."	Noninfectious gastroenteritis	13	Sharp abdominal pain	20	Urinalysis	Sucralfate (Carafate)	45-59 years	0.5x				
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."	Gastritis	8	Vomiting	24	Intravenous fluid replacement	Octreotide	5-14 years	0.3x				
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."	Hypovolemia	2	Dizziness	47	Radiographic imaging procedure	Pantoprazole	1-4 years	0.5x				
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."			Abusing alcohol	29		Hypromellose (Genteal)						
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."			Nausea	28		Alpha 1-Antitrypsin						
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."			Blood in stool	18		Droperidol						
Vomiting blood	Also known as Hematemesis	"Hematemesis or haematemesis is the vomiting of blood. The source is generally the upper gastrointestinal tract. Patients can easily confuse it with hemoptysis (coughing up blood), although the latter is more common."			Diarrhea	18		Sodium Polystyrene Sulfonate (Kayexalate)						
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:	Diverticulosis	3	Itching of the anus	9	Intravenous fluid replacement	Mesalamine (Asacol)	5-14 years	0.9x	Female	1.1x	White	0.8x
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:	Noninfectious gastroenteritis	2	Burning abdominal pain	53	Kidney function tests (Kidney function test)	Flumazenil	30-44 years	1.9x	Male	1.0x	Other	1.0x
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:	Colonic polyp	5	Changes in stool appearance	41	Hematologic tests (Blood test)	Psyllium	< 1 years	1.4x			Black	1.0x
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:	Anal fissure	16	Heartburn	4	Rectal examination	Hydrocortisone-Pramoxine Topical	15-29 years	0.1x			Hispanic	1.0x
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:	Chronic constipation	27	Constipation	14	Glucose measurement (Glucose level)	Docusate (Colace)	60-74 years	1.1x				
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:	Hemorrhoids	2	Blood in stool	35	Sigmoidoscopy or colonoscopy	Glycerin (Fleet)	45-59 years	1.1x				
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:	Rectal disorder	25	Pain of the anus	31	Electrolytes panel	Diatrizoate	75+ years	0.3x				
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:	Gastrointestinal hemorrhage	6	Vomiting blood	19	Complete blood count (Cbc)	Methylcellulose (Citrucel)	1-4 years	0.2x				
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:			Melena	7		Thiopental (Pentothal)						
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:			Diarrhea	7		Pramoxine Topical						
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:			Mass or swelling around the anus	7		Sulfasalazine						
Rectal bleeding	Also known as Bright Red Blood Per Rectum and BRBPR	Rectal bleeding can refer to:			Sharp abdominal pain	4		Midazolam (Versed)						
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"	Gastritis	3	Lower abdominal pain	23	Hematologic tests (Blood test)	Dolasetron (Anzemet)	5-14 years	1.0x	Male	0.8x	Hispanic	1.1x
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"	Pain after an operation	4	Sharp chest pain	18	Intravenous fluid replacement	Dimenhydrinate (Dramamine)	30-44 years	1.0x	Female	1.2x	Other	0.8x
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"	Infectious gastroenteritis	5	Side pain	33	Urinalysis	Trimethobenzamide (Tigan)	15-29 years	1.4x			White	0.9x
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"	Gastroesophageal reflux disease (GERD)	3	Upper abdominal pain	88	Complete blood count (Cbc)	Ondansetron (Zofran)	45-59 years	0.8x			Black	0.9x
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"	Hypovolemia	8	Dizziness	20	Glucose measurement (Glucose level)	Prochlorperazine (Compro)	1-4 years	1.3x				
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"	Noninfectious gastroenteritis	3	Weakness	20	Kidney function tests (Kidney function test)	Promethazine	75+ years	0.3x				
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"	Urinary tract infection	5	Fever	32	Radiographic imaging procedure	Metoclopramide	< 1 years	0.7x				
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"	Migraine	2	Diarrhea	58	Electrolytes panel	Loperamide (Imodium)	60-74 years	0.4x				
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"			Vomiting	48		Bismuth Subsalicylate (Pepto-Bismol)						
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"			Sharp abdominal pain	25		Digitoxin						
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"			Burning abdominal pain	69								
Nausea	"Also known as Feel like throwing up, Nervous stomach, Sick to stomach, Upset stomach, and Stomach ache"	"Nausea (Latin nausea, from Greek ______ - nausia, ""______"" - nautia, motion sickness"", ""feeling sick,"" ""queasy"" or ""wamble"") is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit. It often, but not always, precedes vomiting. A person can suffer nausea without vomiting. (Greek ____ - naus, ""ship""; ______ started as meaning ""seasickness"".)"			Headache	53								
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Pyogenic skin infection	8	Arm stiffness or tightness	4	Ultrasonography (Ultrasound)	Colloidal Oatmeal Topical	30-44 years	1.2x	Male	0.9x	White	1.0x
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Insect bite	4	Skin swelling	8	Excision (Removal)	Sulfamethoxazole (Bactrim)	45-59 years	0.4x	Female	1.1x	Hispanic	1.3x
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Molluscum contagiosum	2	Arm swelling	15	Other diagnostic procedures on skin and subcutaneous tissue	Fluorouracil Topical	60-74 years	0.7x			Other	1.2x
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Sebaceous cyst	2	Abnormal appearing skin	8	Incision and drainage (I d)	Calamine Topical	< 1 years	1.2x			Black	0.9x
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Hidradenitis suppurativa	2	Knee lump or mass	4	Wound care management	Benzoyl Peroxide Topical	1-4 years	0.6x				
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Contact dermatitis	3	Arm pain	8	Examination of breast	"Insulin, Glulisine, Human (Apidra)"	5-14 years	1.1x				
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Skin disorder	7	Leg lump or mass	4	Biopsy	Rabies Vaccine (Obsolete)	75+ years	0.4x				
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Lipoma	20	Vaginal discharge	11	Complete physical skin exam performed (ML)	Danazol	15-29 years	1.3x				
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Skin pain	18		Saxagliptin (Onglyza)						
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Back mass or lump	11		Fluocinolone Topical						
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Sweating	18								
Arm lump or mass	null	Arm lump or mass is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Neck mass	49								
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:	Parkinson disease	8	Fever	25	Electrolytes panel	Chlordiazepoxide	30-44 years	1.8x	Male	0.9x	White	0.8x
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:	Alcohol abuse	5	Chills	35	Complete blood count (Cbc)	Amantadine	45-59 years	0.8x	Female	1.1x	Other	1.1x
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:	Epilepsy	2	Headache	15	Glucose measurement (Glucose level)	Ropinirole	60-74 years	1.4x			Black	0.9x
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:	Obstructive sleep apnea (OSA)	3	Abnormal breathing sounds	29	Kidney function tests (Kidney function test)	Primidone	5-14 years	0.8x			Hispanic	0.7x
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:	Tic (movement) disorder	7	Paresthesia	11	Intravenous fluid replacement	Pramipexole (Mirapex)	15-29 years	1.1x				
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:	Anxiety	2	Loss of sensation	29	X-ray computed tomography (Scan ct)	Entacapone (Comtan)	1-4 years	0.9x				
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:	Essential tremor	5	Insomnia	26	Electrocardiogram	Guanfacine (Intuniv)	75+ years	0.6x				
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:	Restless leg syndrome	2	Dizziness	19	Hematologic tests (Blood test)	Carbidopa	< 1 years	0.7x				
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:			Seizures	30		Propranolol						
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:			Anxiety and nervousness	14		Rasagiline (Azilect)						
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:			Weakness	15		Trihexyphenidyl (Artane)						
Abnormal involuntary movements	"Also known as Jerking, Tics, Tremors, and Clonus"	Movement disorders include:			Problems with movement	30								
Constipation	Also known as No bowel movement for 3 days and Difficulty Defecating	"Constipation (also known as costiveness or dyschezia) refers to bowel movements that are infrequent or hard to pass. Constipation is a common cause of painful defecation. Severe constipation includes obstipation (failure to pass stools or gas) and fecal impaction, which can progress to bowel obstruction and become life-threatening."	Chronic constipation	2	Sharp abdominal pain	14	Kidney function tests (Kidney function test)	Guar Gum	1-4 years	1.1x	Male	1.0x	Other	0.9x
Constipation	Also known as No bowel movement for 3 days and Difficulty Defecating	"Constipation (also known as costiveness or dyschezia) refers to bowel movements that are infrequent or hard to pass. Constipation is a common cause of painful defecation. Severe constipation includes obstipation (failure to pass stools or gas) and fecal impaction, which can progress to bowel obstruction and become life-threatening."	Gastroesophageal reflux disease (GERD)	2	Vomiting	66	Sigmoidoscopy or colonoscopy	Bisacodyl (The Magic Bullet)	30-44 years	1.0x	Female	1.0x	Black	1.0x
Constipation	Also known as No bowel movement for 3 days and Difficulty Defecating	"Constipation (also known as costiveness or dyschezia) refers to bowel movements that are infrequent or hard to pass. Constipation is a common cause of painful defecation. Severe constipation includes obstipation (failure to pass stools or gas) and fecal impaction, which can progress to bowel obstruction and become life-threatening."	Rectal disorder	4	Irritable infant	28	Intravenous fluid replacement	Glycerin (Fleet)	< 1 years	0.6x			Hispanic	1.0x
Constipation	Also known as No bowel movement for 3 days and Difficulty Defecating	"Constipation (also known as costiveness or dyschezia) refers to bowel movements that are infrequent or hard to pass. Constipation is a common cause of painful defecation. Severe constipation includes obstipation (failure to pass stools or gas) and fecal impaction, which can progress to bowel obstruction and become life-threatening."	Pain after an operation	3	Rectal bleeding	13	Urinalysis	Magnesium Citrate	75+ years	0.6x			White	1.3x
Constipation	Also known as No bowel movement for 3 days and Difficulty Defecating	"Constipation (also known as costiveness or dyschezia) refers to bowel movements that are infrequent or hard to pass. Constipation is a common cause of painful defecation. Severe constipation includes obstipation (failure to pass stools or gas) and fecal impaction, which can progress to bowel obstruction and become life-threatening."	Irritable bowel syndrome	1	Burning abdominal pain	9	Rectal examination	Docusate (Colace)	60-74 years	1.6x				
Constipation	Also known as No bowel movement for 3 days and Difficulty Defecating	"Constipation (also known as costiveness or dyschezia) refers to bowel movements that are infrequent or hard to pass. Constipation is a common cause of painful defecation. Severe constipation includes obstipation (failure to pass stools or gas) and fecal impaction, which can progress to bowel obstruction and become life-threatening."	Intestinal obstruction	1	Retention of urine	26	Complete blood count (Cbc)	Psyllium	15-29 years	4.3x				
Constipation	Also known as No bowel movement for 3 days and Difficulty Defecating	"Constipation (also known as costiveness or dyschezia) refers to bowel movements that are infrequent or hard to pass. Constipation is a common cause of painful defecation. Severe constipation includes obstipation (failure to pass stools or gas) and fecal impaction, which can progress to bowel obstruction and become life-threatening."	Hemorrhoids	2	Blood in stool	22	Liver function tests (Liver test)	Lubiprostone (Amitiza)	45-59 years	1.8x				
Constipation	Also known as No bowel movement for 3 days and Difficulty Defecating	"Constipation (also known as costiveness or dyschezia) refers to bowel movements that are infrequent or hard to pass. Constipation is a common cause of painful defecation. Severe constipation includes obstipation (failure to pass stools or gas) and fecal impaction, which can progress to bowel obstruction and become life-threatening."	Diverticulosis	54	Decreased appetite	20	Electrolytes panel	Polyethylene Glycol 3350 (Miralax)	5-14 years	0.8x				
