conditions	conditions-href	title	other_names	symps	percentages	test	ages	age_freq	sex	sex_freq	race	race_freq	meds
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null				45-59 years						
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					1.2x					
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					0.7x					
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					1.6x					
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Upper abdominal pain									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Irregular belly button									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Ache all over									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			Wound care management							
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null						Male				
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			X-ray computed tomography (Scan ct)							
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null								Black		
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Ephedrine (Kie)
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Groin mass									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			Complete physical skin exam performed (ML)							
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		32								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		21								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Triprolidine (Actifed)
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					0.7x					
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Neostigmine
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null									1.1x	
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		2								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null				30-44 years						
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Rocuronium
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null									0.9x	
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Lower abdominal pain									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Lyme Disease Vaccine
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null				5-14 years						
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Aminosalicylic Acid
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			Pelvis exam							
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null								White		
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Arnica Topical
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Methylene Blue
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null				60-74 years						
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Fluoride Topical
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null									1.2x	
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Swelling of scrotum									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					1.8x					
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		18								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null		23								
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null							0.9x			
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Rapacuronium
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					1.2x					
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Infant spitting up									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Groin pain									
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null								Other		
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null				1-4 years						
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null										Desflurane
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			Hemoglobin A1c measurement (Hemoglobin a1c test)							
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null						Female				
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null			Other diagnostic procedures (interview; evaluation; consultation)							
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null				75+ years						
Acne	http://www.symcat.com/conditions/acne	Acne	null				60-74 years						
Acne	http://www.symcat.com/conditions/acne	Acne	null					0.3x					
Acne	http://www.symcat.com/conditions/acne	Acne	null				1-4 years						
Acne	http://www.symcat.com/conditions/acne	Acne	null								Other		
Acne	http://www.symcat.com/conditions/acne	Acne	null					0.1x					
Acne	http://www.symcat.com/conditions/acne	Acne	null										Adapalene Topical
Acne	http://www.symcat.com/conditions/acne	Acne	null	Too little hair									
Acne	http://www.symcat.com/conditions/acne	Acne	null	Warts									
Acne	http://www.symcat.com/conditions/acne	Acne	null										Clindamycin Topical Product
Acne	http://www.symcat.com/conditions/acne	Acne	null		94								
Acne	http://www.symcat.com/conditions/acne	Acne	null			Excision of skin lesion							
Acne	http://www.symcat.com/conditions/acne	Acne	null		4								
Acne	http://www.symcat.com/conditions/acne	Acne	null	"Skin dryness, peeling, scaliness, or roughness"									
Acne	http://www.symcat.com/conditions/acne	Acne	null	Skin rash									
Acne	http://www.symcat.com/conditions/acne	Acne	null			Other therapeutic procedures							
Acne	http://www.symcat.com/conditions/acne	Acne	null		10								
Acne	http://www.symcat.com/conditions/acne	Acne	null					1.8x					
Acne	http://www.symcat.com/conditions/acne	Acne	null								Hispanic		
Acne	http://www.symcat.com/conditions/acne	Acne	null										Tetracycline
Acne	http://www.symcat.com/conditions/acne	Acne	null				30-44 years						
Acne	http://www.symcat.com/conditions/acne	Acne	null						Female				
Acne	http://www.symcat.com/conditions/acne	Acne	null										Erythromycin
Acne	http://www.symcat.com/conditions/acne	Acne	null								White		
Acne	http://www.symcat.com/conditions/acne	Acne	null			Excision (Removal)							
Acne	http://www.symcat.com/conditions/acne	Acne	null										Tazarotene Topical
Acne	http://www.symcat.com/conditions/acne	Acne	null							1.1x			
Acne	http://www.symcat.com/conditions/acne	Acne	null		13								
Acne	http://www.symcat.com/conditions/acne	Acne	null	Irregular appearing scalp									
Acne	http://www.symcat.com/conditions/acne	Acne	null		3								
Acne	http://www.symcat.com/conditions/acne	Acne	null	Abnormal appearing skin									
Acne	http://www.symcat.com/conditions/acne	Acne	null								Black		
Acne	http://www.symcat.com/conditions/acne	Acne	null			Lipid panel							
Acne	http://www.symcat.com/conditions/acne	Acne	null				75+ years						
Acne	http://www.symcat.com/conditions/acne	Acne	null		10								
Acne	http://www.symcat.com/conditions/acne	Acne	null	Skin moles									
Acne	http://www.symcat.com/conditions/acne	Acne	null		38								
Acne	http://www.symcat.com/conditions/acne	Acne	null					0.1x					
Acne	http://www.symcat.com/conditions/acne	Acne	null							0.9x			
Acne	http://www.symcat.com/conditions/acne	Acne	null									0.8x	
Acne	http://www.symcat.com/conditions/acne	Acne	null			Complete physical skin exam performed (ML)							
Acne	http://www.symcat.com/conditions/acne	Acne	null	Skin growth									
Acne	http://www.symcat.com/conditions/acne	Acne	null				15-29 years						
Acne	http://www.symcat.com/conditions/acne	Acne	null										Benzoyl Peroxide-Clindamycin Topical
Acne	http://www.symcat.com/conditions/acne	Acne	null					0.9x					
Acne	http://www.symcat.com/conditions/acne	Acne	null		20								
Acne	http://www.symcat.com/conditions/acne	Acne	null					0.8x					
Acne	http://www.symcat.com/conditions/acne	Acne	null										Doxycycline
Acne	http://www.symcat.com/conditions/acne	Acne	null			Depression screen (Depression screening)							
Acne	http://www.symcat.com/conditions/acne	Acne	null									0.9x	
Acne	http://www.symcat.com/conditions/acne	Acne	null					2.9x					
Acne	http://www.symcat.com/conditions/acne	Acne	null						Male				
Acne	http://www.symcat.com/conditions/acne	Acne	null		21								
Acne	http://www.symcat.com/conditions/acne	Acne	null		4								
Acne	http://www.symcat.com/conditions/acne	Acne	null	Long menstrual periods									
Acne	http://www.symcat.com/conditions/acne	Acne	null	Acne or pimples									
Acne	http://www.symcat.com/conditions/acne	Acne	null									1.0x	
Acne	http://www.symcat.com/conditions/acne	Acne	null				45-59 years						
Acne	http://www.symcat.com/conditions/acne	Acne	null					0.0x					
Acne	http://www.symcat.com/conditions/acne	Acne	null		3								
Acne	http://www.symcat.com/conditions/acne	Acne	null			Biopsy							
Acne	http://www.symcat.com/conditions/acne	Acne	null				5-14 years						
Acne	http://www.symcat.com/conditions/acne	Acne	null			Other non-OR therapeutic procedures on skin and breast							
Acne	http://www.symcat.com/conditions/acne	Acne	null										Minocycline
Acne	http://www.symcat.com/conditions/acne	Acne	null		17								
Acne	http://www.symcat.com/conditions/acne	Acne	null	Skin swelling									
Acne	http://www.symcat.com/conditions/acne	Acne	null										Clindamycin
Acne	http://www.symcat.com/conditions/acne	Acne	null									1.3x	
Acne	http://www.symcat.com/conditions/acne	Acne	null										Benzoyl Peroxide Topical
Acne	http://www.symcat.com/conditions/acne	Acne	null										Tretinoin Topical
Acne	http://www.symcat.com/conditions/acne	Acne	null				< 1 years						
Acne	http://www.symcat.com/conditions/acne	Acne	null										Benzoyl Peroxide-Erythromycin Topical
Acne	http://www.symcat.com/conditions/acne	Acne	null										Isotretinoin (Accutane)
Acne	http://www.symcat.com/conditions/acne	Acne	null	Nose deformity									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Symptoms of the face									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Fluocinonide Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Wound care management							
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis							1.4x			
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		54								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Skin swelling									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis						Female				
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Biopsy							
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		72								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		26								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Excision (Removal)							
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis						Male				
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis					0.0x					
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis								White		
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis								Other		
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Oxiconazole Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Other diagnostic procedures on skin and subcutaneous tissue							
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis				60-74 years						
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Metronidazole Topical Product
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		18								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		7								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Desoximetasone Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Fluorouracil Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Other therapeutic procedures							
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		70								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis				< 1 years						
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		34								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Imiquimod Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Skin moles									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Complete physical skin exam performed (ML)							
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Clobetasol Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis					0.9x					
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis									0.1x	
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis							0.7x			
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis				75+ years						
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis					2.9x					
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Skin irritation									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		21								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis					3.9x					
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Abnormal appearing skin									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Irregular appearing scalp									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis					0.0x					
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Tretinoin Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Warts									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		24								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		19								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis					0.2x					
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Excision of skin lesion							
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		7								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis				15-29 years						
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Desonide Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis					0.0x					
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis									0.3x	
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis			Other non-OR therapeutic procedures on skin and breast							
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis				30-44 years						
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis									0.4x	
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis									1.5x	
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Aminolevulinic Acid Topical
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Skin lesion									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Skin rash									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Fluorouracil
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis				1-4 years						
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		13								
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis								Hispanic		
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis								Black		
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis										Ketoconazole
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	"Skin dryness, peeling, scaliness, or roughness"									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Itching of skin									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis	Skin growth									
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis					0.0x					
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis				5-14 years						
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis				45-59 years						
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Plain x-ray (X ray)							
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null		56								
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null										Gentamicins (Gentamicin)
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Coryza									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Wheezing									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null		42								
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Influenzavirus antibody assay							
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null									0.7x	
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null				30-44 years						
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null										Budesonide
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Blood culture							
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Other OR therapeutic nervous system procedures							
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null		59								
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null								Other		
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null		78								
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null							0.7x			
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Nebulizer therapy							
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null								Black		
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null										Albuterol
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Radiographic imaging procedure							
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Pulling at ears									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null				5-14 years						
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null					0.0x					
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Shortness of breath									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Nasal congestion									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null		76								
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Other respiratory therapy							
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Cough									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Irritable infant									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null					0.1x					
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null					0.0x					
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null				45-59 years						
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null					0.1x					
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null				75+ years						
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null				< 1 years						
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null		18								
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Decreased appetite									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null									1.6x	
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null							1.4x			
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null										Phenylephrine Nasal
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null						Male				
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null					19.2x					
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Difficulty breathing									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null										Neomycin Topical Product
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Hurts to breath									
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null									1.5x	
