title	other_names	desc	diseases	side_effects
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Pain
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		High blood pressure
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Problems with movement
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		"Muscle cramps, contractures, or spasms"
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Flatulence
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Myoclonus
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Indigestion
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Nausea
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Paresthesia
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Increased heart rate
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Abdominal pain
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Chest pain
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Peripheral edema
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Personality disorder
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Incontinence of stool
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Back pain
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Headache
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Insomnia
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Nosebleed
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Urinary tract infection
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Acne
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Mouth dryness
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Pharyngitis
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Vomiting
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Sweating
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Nasal congestion
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Stiffness all over
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Diarrhea
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Restlessness
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Diminished vision
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Torticollis
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Vaginitis
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Weakness
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Orthostatic hypotension
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Joint pain
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		Amblyopia
Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."		"Skin dryness, peeling, scaliness, or roughness"
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Drainage in throat	Cough
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Crohn disease	Skin rash
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Wheezing	Pain
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Asthma	Nasal congestion
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Tonsillar hypertrophy	Acute bronchospasm (Bronchial Spasm)
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Cystic Fibrosis	Redness in ear
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Cerebral palsy	Conjunctivitis
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."	Acute bronchiolitis	Nausea
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."		Yeast infection
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."		Oral thrush (yeast infection)
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."		Vomiting
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."		Diarrhea
Budesonide	"Also known as Pulmicort, Rhinocort, and Preferid"	"Budesonide is a glucocorticoid steroid for the treatment of asthma and non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis. In addition, it is used for Crohn's disease (inflammatory bowel disease)."		Abdominal pain
