meds	meds-href	title	other_names	desc	diseases	side_effects
Epinephrine	http://www.symcat.com/medications/epinephrine	Epinephrine	"Also known as Vivacaine, Marcaine With Epinephrine 0.25/1:200000, Marcaine With Epinephrine 0.5/1:200000, Marcaine With Epinephrine 0.75/1:200000, Sensorcaine With Epinephrine 0.25/1:200000, Sensorcaine With Epinephrine 0.5/1:200000, Sensorcaine With Epinephrine 0.75/1:200000, Medihaler-Epi, Bronkaid Mist, and Glaucon"	"Epinephrine (also known as adrenaline or adrenalin) is a hormone and a neurotransmitter. Epinephrine has many functions in the body, regulating heart rate, blood vessel and air passage diameters, and metabolic shifts; epinephrine release is a crucial component of the fight-or-flight response of the sympathetic nervous system. In chemical terms, epinephrine is one of a group of monoamines called the catecholamines. It is produced in some neurons of the central nervous system, and in the chromaffin cells of the adrenal medulla from the amino acids phenylalanine and tyrosine."	Allergy	
Cefuroxime	http://www.symcat.com/medications/cefuroxime	Cefuroxime	"Also known as Zinacef, Kefurox, Ceftin, Zinnat, and Alti Cefuroxime"	Cefuroxime is a parenteral second generation cephalosporin antibiotic. It was discovered by Glaxo now GlaxoSmithKline and introduced in 1978 as Zinacef. It was approved by FDA on 19 Oct 1983. In US it is available as Zinacef by Covis Pharmaceuticals as the company acquired the US rights of the product from GSK. In India it is available as Supacef by GSK. Cefuroxime axetil is an acetoxyetyl ester prodrug of cefuroxime which is effective orally.	Frontal headache	
Glimepiride	http://www.symcat.com/medications/glimepiride	Glimepiride	Also known as Amaryl	"Glimepiride is a medium- to long-acting sulfonylurea antidiabetic drug. It is marketed as Amaryl by Sanofi-Aventis, GLIMPID by Ranbaxy Laboratories(Cardiovascular) and GLIMY by Dr.Reddy's Labs."		Weakness
Trazodone	http://www.symcat.com/medications/trazodone	Trazodone	"Also known as Desyrel, Molipaxin Cr, Molipaxin, and Oleptro"	"Trazodone (also sold under the brand names Desyrel, Oleptro, Beneficat, Deprax, Desirel, Molipaxin, Thombran, Trazorel, Trialodine, Trittico, and Mesyrel) is an antidepressant of the serotonin antagonist and reuptake inhibitor (SARI) class. It is a phenylpiperazine compound. Trazodone also has anti-anxiety (anxiolytic) and sleep-inducing (hypnotic) effects. Trazodone has considerably fewer prominent anticholinergic (dry mouth, constipation, tachycardia) and sexual side effects than most of the tricyclic antidepressants (TCAs)."	Nightmares	
Bimatoprost Ophthalmic	http://www.symcat.com/medications/bimatoprost-ophthalmic	Bimatoprost Ophthalmic	null	Bimatoprost Ophthalmic is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Symptoms of eye	
Olanzapine	http://www.symcat.com/medications/olanzapine	Olanzapine (Zyprexa)	Also known as Zyprexa	"Olanzapine (trade name Zyprexa or in combination with fluoxetine Symbyax) is an atypical antipsychotic, approved by the U.S. Food and Drug Administration (FDA) for the treatment of schizophrenia and bipolar disorder. Olanzapine is structurally similar to clozapine, but is classified as a thienobenzodiazepine. The olanzapine formulations are manufactured and marketed by the pharmaceutical company Eli Lilly and Company; the drug went generic in 2011. Sales of Zyprexa in 2008 were $2.2B in the US alone, and $4.7B in total."	Depressive or psychotic symptoms	
Carbamazepine	http://www.symcat.com/medications/carbamazepine	Carbamazepine	Also known as Tegretol and Epitol	"Carbamazepine (CBZ) (Tegretol, Equetro) is an anticonvulsant and mood-stabilizing drug used primarily in the treatment of epilepsy and bipolar disorder, as well as trigeminal neuralgia. It is also used off-label for a variety of indications, including attention-deficit hyperactivity disorder (ADHD), schizophrenia, phantom limb syndrome, complex regional pain syndrome, paroxysmal extreme pain disorder, neuromyotonia, intermittent explosive disorder, borderline personality disorder, Myotonia congenita and post-traumatic stress disorder."		Indigestion
Midazolam	http://www.symcat.com/medications/midazolam	Midazolam (Versed)	Also known as Versed	"Midazolam  is a short-acting drug in the benzodiazepine class developed by Hoffmann-La Roche in the 1970s. The drug is used for treatment of acute seizures, moderate to severe insomnia, and for inducing sedation and amnesia before medical procedures. It possesses profoundly potent anxiolytic, amnestic, hypnotic, anticonvulsant, skeletal muscle relaxant, and sedative properties. Midazolam has a fast recovery time and is the most commonly used benzodiazepine as a premedication for sedation; less commonly it is used for induction and maintenance of anesthesia. Flumazenil, a benzodiazepine antagonist drug, can be used to treat an overdose of midazolam, as well as to reverse sedation. However, flumazenil can trigger seizures in mixed overdoses and in benzodiazepine-dependent individuals, so is not used in most cases."	Rectal bleeding	
Enalapril	http://www.symcat.com/medications/enalapril	Enalapril	"Also known as Teczem, Innovace, Renitec, Vaseretic, Vasotec, Lexxel 5/2.5, and Lexxel 5/5"	"Enalapril (marketed as Vasotec in the USA, Enaladex in some other countries, and Enacard for veterinary use) is an angiotensin converting enzyme (ACE) inhibitor used in the treatment of hypertension and some types of chronic heart failure. ACE converts the peptide hormone angiotensin I to angiotensin II. One of the actions of angiotensin II is the vasoconstriction of blood vessels resulting in an increase in blood pressure. ACE inhibitors such as enalapril prevent this effect. Enalapril has been shown to lower the death rate in systolic heart failure. Enalapril was the first member of the group known as the dicarboxylate-containing ACE inhibitors."		Cramps and spasms
Simvastatin	http://www.symcat.com/medications/simvastatin	Simvastatin	Also known as Zocor	"Simvastatin (INN)  is a hypolipidemic drug used with exercise, diet, and weight-loss to control elevated cholesterol, or hypercholesterolemia. It is a member of the statin class of pharmaceuticals."		Gastritis
Quetiapine	http://www.symcat.com/medications/quetiapine	Quetiapine (Seroquel)	Also known as Seroquel	"Quetiapine  (branded as Seroquel, Xeroquel, Ketipinor), is an atypical antipsychotic approved for the treatment of schizophrenia, bipolar disorder, and along with an SSRI to treat major depressive disorder."		Schizophrenia
Ergocalciferol	http://www.symcat.com/medications/ergocalciferol	Ergocalciferol	Also known as Drisdol and Deltalin	"Ergocalciferol is a provitamin form of vitamin D, also called vitamin D2. In isolated manufactured formats, it is marketed under various names including Deltalin (Eli Lilly and Company), discontinued Drisdol (Sanofi-Synthelabo), and Calcidol (Patrin Pharma). Ergocalciferol is created when ultraviolet light activates ergosterol."		
Prochlorperazine	http://www.symcat.com/medications/prochlorperazine	Prochlorperazine (Compro)	"Also known as Stemetil, Compazine, Compro, and Procot"	"Prochlorperazine (Compazine, Stemzine, Buccastem, Stemetil, Phenotil) is a dopamine (D2) receptor antagonist that belongs to the phenothiazine class of antipsychotic agents that are used for the antiemetic treatment of nausea and vertigo. It is also a highly potent typical antipsychotic, 10-20x more potent than chlorpromazine. It is also used to treat migraine headaches. Intravenous administration can be used to treat status migrainosus."	Ovarian cancer	
Atomoxetine	http://www.symcat.com/medications/atomoxetine	Atomoxetine (Strattera)	Also known as Strattera	"Atomoxetine is a drug approved for the treatment of attention-deficit hyperactivity disorder (ADHD). It is a selective norepinephrine reuptake inhibitor (NRI), not to be confused with selective serotonin and norepinephrine reuptake inhibitors (SNRIs) or selective serotonin reuptake inhibitors (SSRIs), both of which are currently the most prescribed form of antidepressants. This compound is manufactured, marketed and sold in the United States under the brand name Strattera by Eli Lilly and Company as a hydrochloride salt (atomoxetine HCl), the original patent filing company, and current U.S. patent owner. Generics of atomoxetine are sold in all other countries; they are manufactured by Torrent Pharmaceuticals using the label Tomoxetin, Ranbaxy Laboratories (through its Division: Solus) using the label Attentin, Sun Pharmaceuticals (through its Division: Milmet Pharmaceuticals), and Intas Biopharmaceuticals. There is currently no generic manufactured directly in the United States since it is under patent until 2017. On August 12, 2010, Lilly lost a lawsuit that challenged Lilly's patent on Strattera, increasing the likelihood of an earlier entry of a generic into the US market. On September 1, 2010, Sun Pharmaceuticals announced it would begin manufacturing a generic in the United States. In a July 29, 2011 conference call, however, Sun Pharmaceutical's Chairman stated ""Lilly won that litigation on appeal so I think ’s deferred."""		Problems with orgasm
Haemophilus B Conjugate Vaccine (Obsolete)	http://www.symcat.com/medications/haemophilus-b-conjugate-vaccine-obsolete	Haemophilus B Conjugate Vaccine (Obsolete)	null	Haemophilus B Conjugate Vaccine (Obsolete) is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Blastomycosis	
Rotavirus Vaccines	http://www.symcat.com/medications/rotavirus-vaccines	Rotavirus Vaccines (Rotavirus Vaccine)	"Also known as Rotavirus Vaccine, Rotavirus Vaccine, Live, Oral, and Rotarix"	"A rotavirus vaccine protects children from rotaviruses, which are the leading cause of severe diarrhea among infants and young children. Each year an estimated 453,000 children die from diarrhoeal disease caused by rotavirus, most of whom live in developing countries, and another two million are hospitalised. Rotavirus is highly contagious and resistant and, regardless of water quality and available sanitation nearly every child in the world is at risk of infection."	Torticollis	
Mometasone Nasal Product	http://www.symcat.com/medications/mometasone-nasal-product	Mometasone Nasal Product	Also known as Nasonex Nasal Product	Mometasone Nasal Product is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Allergic reaction	
Medroxyprogesterone	http://www.symcat.com/medications/medroxyprogesterone	Medroxyprogesterone	Also known as Curretab	"Medroxyprogesterone (INN, BAN), also known as 17_-hydroxy-6_-methylprogesterone, and abbreviated as MP, is a steroidal progestin drug which was never marketed for use in humans. An acylated derivative, medroxyprogesterone acetate (MPA), is clinically used as a pharmaceutical medicine. Compared to MPA, MP is over two orders of magnitude less potent as a progestogen. As such, MP itself is not used clinically, though it has seen limited use in veterinary medicine under the trade name Controlestril in France. In addition, it is an metabolite of MPA."		Diarrhea
Ondansetron	http://www.symcat.com/medications/ondansetron	Ondansetron (Zofran)	Also known as Zofran and Zuplenz	"Ondansetron (INN)  is a serotonin 5-HT3 receptor antagonist used mainly as an antiemetic (to treat nausea and vomiting), often following chemotherapy. It affects both peripheral and central nerves. Ondansetron reduces the activity of the vagus nerve, which deactivates the vomiting center in the medulla oblongata, and also blocks serotonin receptors in the chemoreceptor trigger zone. It has little effect on vomiting caused by motion sickness, and does not have any effect on dopamine receptors or muscarinic receptors."		Itching of unknown cause
Gentamicin Ophthalmic	http://www.symcat.com/medications/gentamicin-ophthalmic	Gentamicin Ophthalmic	null	Gentamicin Ophthalmic is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Foreign body in the eye	
Bacitracin	http://www.symcat.com/medications/bacitracin	Bacitracin (Septa)	"Also known as Polysporin, Cortisporin Ointment, Mycitracin Plus Pain Reliever, Neosporin Ointment, Ak-Tracin, Baci-Im, Baciguent, Betadine Antibiotic, Campho-Phenique Maximum Strength, and Medi-Quik"	"Bacitracin is a mixture of related cyclic polypeptides produced by organisms of the licheniformis group of Bacillus subtilis var Tracy, isolation of which was first reported in 1945. These peptides disrupt both gram positive and gram negative bacteria by interfering with cell wall and peptidoglycan synthesis."	Open wound of the arm	
Enoxaparin	http://www.symcat.com/medications/enoxaparin	Enoxaparin (Lovenox)	Also known as Lovenox	"Enoxaparin is a low molecular weight heparin marketed under the trade names Lovenox, Xaparin and Clexane, among others. It is an anticoagulant used to prevent and treat deep vein thrombosis or pulmonary embolism, and is given as a subcutaneous injection (by a health care provider or the patient). Its use is evolving in acute coronary syndromes (ACS)."		Anemia
Digoxin	http://www.symcat.com/medications/digoxin	Digoxin	Also known as Lanoxin	"Digoxin INN (/d__d__ks_n/) is a purified cardiac glycoside extracted from the foxglove plant, Digitalis lanata. Its corresponding aglycone is digoxigenin, and its acetyl derivative is acetyldigoxin. Digoxin is widely used in the treatment of various heart conditions, namely atrial fibrillation, atrial flutter and sometimes heart failure that cannot be controlled by other medication. Digoxin preparations are commonly marketed under the trade names Lanoxin, Digitek, and Lanoxicaps. It is also available as a 0.05 mg/ml oral solution and 0.25 mg/ml or 0.5 mg/ml injectable solution. It is marketed by GlaxoSmithKline and many other pharmaceutic manufacturers."	Ischemic heart disease	
Nitrofurantoin	http://www.symcat.com/medications/nitrofurantoin	Nitrofurantoin	Also known as Macrobid and Macrodantin	"Nitrofurantoin is an antibiotic which is marketed under the following brand names; Niftran, Furadantin, Furabid, Macrobid, Macrodantin, Nitrofur Mac, Nitro Macro, Nifty-SR, Martifur-MR, Uro-Tablinen or Nifuretten (in Germany), Martifur-100 (in India), Urantoin, Nifuran (in Macedonia) and Uvamin (in Middle East). It is usually used in treating urinary tract infection. It is often used against E. coli."	Urinary tract infection	
Lansoprazole	http://www.symcat.com/medications/lansoprazole	Lansoprazole (Prevacid)	Also known as Prevacid	Lansoprazole  is a proton-pump inhibitor (PPI) which inhibits the stomach's production of gastric acids. It is manufactured by a number of companies worldwide under several brand names. In the United States it was first approved by the Food and Drug Administration (FDA) in 1995.		Constipation
Doxazosin	http://www.symcat.com/medications/doxazosin	Doxazosin	Also known as Cardura	"Doxazosin mesylate, a quinazoline compound sold by Pfizer under the brand names Cardura and Carduran, is an _1-selective alpha blocker used to treat high blood pressure and urinary retention associated with benign prostatic hyperplasia (BPH)."		Skin rash
Petrolatum Topical	http://www.symcat.com/medications/petrolatum-topical	Petrolatum Topical	null	Petrolatum Topical is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Eczema	
Methylphenidate	http://www.symcat.com/medications/methylphenidate	Methylphenidate	Also known as Daytrana	"Methylphenidate (Ritalin) is a psychostimulant drug approved for treatment of ADHD or attention-deficit hyperactivity disorder, postural orthostatic tachycardia syndrome and narcolepsy. The original patent was owned by CIBA, now Novartis Corporation. It was first licensed by the FDA in 1955 for treating ADHD, prescribed from 1960, and became heavily prescribed in the 1990s, when the diagnosis of ADHD itself became more widely accepted."	Developmental disability	
Topiramate	http://www.symcat.com/medications/topiramate	Topiramate (Topamax)	Also known as Topamax	"Topiramate (brand name Topamax) is an anticonvulsant (antiepilepsy) drug. It was most recently approved for weight loss by the FDA in combination with phentermine. It has been used off-label for this purpose before FDA approval was obtained. It was originally produced by Ortho-McNeil Neurologics and Noramco, Inc., both divisions of the Johnson & Johnson Corporation. It was also recently approved in a combination medication used for weight loss in late 2012. This medication was discovered in 1979 by Bruce E. Maryanoff and Joseph F. Gardocki during their research work at McNeil Pharmaceutical. Topiramate was first approved by the US FDA in 1996. Generic versions are available in Canada and these were approved by the Food and Drug Administration (FDA) in September 2006. Mylan Pharmaceuticals was recently granted final approval for generic topiramate 25, 100, and 200 mg tablets and sprinkle capsules by the FDA for sale in the United States. 50 mg tablets were granted tentative approval. The last patent for topiramate in the U.S. was for pediatric use; this patent expired on February 28, 2009."		Skin rash
Levalbuterol	http://www.symcat.com/medications/levalbuterol	Levalbuterol (Xopenex)	Also known as Xopenex	"Levosalbutamol (INN) or levalbuterol (USAN), trade name Xopenex, is the R-enantiomer of the short-acting _2-adrenergic receptor agonist salbutamol. It is marketed by Cipla as Levolin, & by axa named Axazest."		Diarrhea
Epinephrine	http://www.symcat.com/medications/epinephrine	Epinephrine	"Also known as Vivacaine, Marcaine With Epinephrine 0.25/1:200000, Marcaine With Epinephrine 0.5/1:200000, Marcaine With Epinephrine 0.75/1:200000, Sensorcaine With Epinephrine 0.25/1:200000, Sensorcaine With Epinephrine 0.5/1:200000, Sensorcaine With Epinephrine 0.75/1:200000, Medihaler-Epi, Bronkaid Mist, and Glaucon"	"Epinephrine (also known as adrenaline or adrenalin) is a hormone and a neurotransmitter. Epinephrine has many functions in the body, regulating heart rate, blood vessel and air passage diameters, and metabolic shifts; epinephrine release is a crucial component of the fight-or-flight response of the sympathetic nervous system. In chemical terms, epinephrine is one of a group of monoamines called the catecholamines. It is produced in some neurons of the central nervous system, and in the chromaffin cells of the adrenal medulla from the amino acids phenylalanine and tyrosine."	Allergic reaction	
Bupivacaine	http://www.symcat.com/medications/bupivacaine	Bupivacaine	"Also known as Sensorcaine, Marcain Heavy, Sure-Amp Bupivacaine, Duocaine, Vivacaine, Marcaine With Epinephrine 0.25/1:200000, Marcaine With Epinephrine 0.5/1:200000, Marcaine With Epinephrine 0.75/1:200000, Sensorcaine With Epinephrine 0.25/1:200000, and Sensorcaine With Epinephrine 0.5/1:200000"	"Bupivacaine (rINN)  is a local anaesthetic drug belonging to the amino amide group. It is commonly marketed under various trade names, including Marcain, Marcaine (CareStream Dental), Sensorcaine (Astra Zeneca) and Vivacaine (Septodont)."		
Medroxyprogesterone	http://www.symcat.com/medications/medroxyprogesterone	Medroxyprogesterone	Also known as Curretab	"Medroxyprogesterone (INN, BAN), also known as 17_-hydroxy-6_-methylprogesterone, and abbreviated as MP, is a steroidal progestin drug which was never marketed for use in humans. An acylated derivative, medroxyprogesterone acetate (MPA), is clinically used as a pharmaceutical medicine. Compared to MPA, MP is over two orders of magnitude less potent as a progestogen. As such, MP itself is not used clinically, though it has seen limited use in veterinary medicine under the trade name Controlestril in France. In addition, it is an metabolite of MPA."	Uterine fibroids	
Meclizine	http://www.symcat.com/medications/meclizine	Meclizine	"Also known as Bonine, Ru-Vert-M, Antivert, D-Vert, Driminate Ii, Meclicot, Medivert, Meni-D, Travel-Ease, and Bonikraft"	"Meclozine (INN, or meclizine) is an antihistamine considered to be an antiemetic. It is sold under the brand names Bonine, Bonamine, Antivert, Postafen, Sea Legs, and Dramamine (Less Drowsy Formulation). Emesafene is a combination of meclozine (1/3) and pyridoxine (2/3). In Canada, Antivert Tab (which is no longer available) was a combination of meclozine and nicotinic acid."	Dizziness	
Levofloxacin	http://www.symcat.com/medications/levofloxacin	Levofloxacin (Levaquin)	Also known as Levaquin and Quixin	"Levofloxacin (Levaquin (U.S.), Tavanic (E.U.), and others) is a broad spectrum antibiotic of the fluoroquinolone drug class. Its spectrum of activity includes most strains of bacterial pathogens responsible for respiratory, urinary tract, gastrointestinal, and abdominal infections, including Gram-(-) (Escherichia coli, Haemophilus influenzae, Klebsiella pneumoniae, Legionella pneumophila, Moraxella catarrhalis, Proteus mirabilis, and Pseudomonas aeruginosa), Gram-(+) (methicillin-sensitive but not methicillin-resistant Staphylococcus aureus, Streptococcus pneumoniae, Staphylococcus epidermidis, Enterococcus faecalis, and Streptococcus pyogenes), and atypical bacterial pathogens (Chlamydophila pneumoniae and Mycoplasma pneumoniae). Levofloxacin and other fluoroquinolones are valued for this broad spectrum of activity, excellent tissue penetration, and for their availability in both oral and intravenous formulations. (Many antibacterials used in serious infections must be dosed intravenously.) Levaquin is used alone or in combination with other antibacterial drugs to treat certain bacterial infections including pneumonia, urinary tract infections, and abdominal infections."	Pick disease	
Baclofen	http://www.symcat.com/medications/baclofen	Baclofen	"Also known as Lioresal, Kemstro, and Gablofen"	"Baclofen (brand names Kemstro, Lioresal, Liofen, Gablofen, Beklo and Baclosan) is a derivative of gamma-aminobutyric acid (GABA). It is primarily used to treat spasticity and is in the early research stages for use for the treatment of alcoholism. It is also used by compounding pharmacies in topical pain creams as a muscle relaxant."		Incontinence of stool
Pregabalin	http://www.symcat.com/medications/pregabalin	Pregabalin (Lyrica)	Also known as Lyrica	"Pregabalin (INN) (Lyrica) and (Serigaptin)  is an anticonvulsant drug used for neuropathic pain and as an adjunct therapy for partial seizures with or without secondary generalization in adults. It has also been found effective for generalized anxiety disorder and is (as of 2007) approved for this use in the European Union. It was designed as a more potent successor to gabapentin. Pregabalin is marketed by Pfizer under the trade name Lyrica. Pfizer described in an SEC filing that the drug could be used to treat epilepsy, post-herpetic neuralgia, diabetic peripheral neuropathy and fibromyalgia. Sales reached a record $3.063 billion in 2010."	Peripheral nerve disorder	
Escitalopram	http://www.symcat.com/medications/escitalopram	Escitalopram (Lexapro)	Also known as Lexapro	"Escitalopram (trade names Nexito, Anxiset-E (India), Exodus (Brazil), Esto (Israel), Lexapro, Cipralex, Seroplex, Elicea, Lexamil, Lexam, Entact (Greece), Losita (Bangladesh), Reposil (Chile), Animaxen (Colombia), Esitalo (Australia)), Lexamil (South Africa), is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class. It is approved by the U.S. Food and Drug Administration (FDA) for the treatment of adults and children over 12 years of age with major depressive disorder and generalized anxiety disorder. Escitalopram is the (S)-stereoisomer (enantiomer) of the earlier Lundbeck drug citalopram, hence the name escitalopram. Escitalopram is noted for its high selectivity with serotonin reuptake inhibition. The similarity between escitalopram and citalopram has led to accusations of ""evergreening"", an accusation that Lundbeck has rejected."		Menstrual symptoms
Niacin	http://www.symcat.com/medications/niacin	Niacin	"Also known as Irospan Tablet, Nephrocaps, Poly-Vi-Sol, Poly-Vi-Sol With Iron, Folivane-F, Nephrocaps Qt, Vitafol-One, Advicor 1000 Mg/20 Mg, Advicor 750 Mg/20 Mg, and Advicor 1000/20"	"Niacin (also known as vitamin B3, nicotinic acid and vitamin PP) is an organic compound with the formula C6H5NO2 and, depending on the definition used, one of the 40 to 80 essential human nutrients."	Paroxysmal supraventricular tachycardia	
